Date,Month,Year,Holidays_Count,Days,Area,AQI,full_date
13,2,2024,0,1,Punjabi Bagh,393.0,2024-02-13
13,2,2024,0,1,Bawana,382.0,2024-02-13
13,2,2024,0,1,Narela,345.0,2024-02-13
14,2,2024,0,2,Sri Aurobindo Marg,344.0,2024-02-14
14,2,2024,0,2,Dr. Karni Singh Shooting Range,376.0,2024-02-14
14,2,2024,0,2,Alipur,314.0,2024-02-14
14,2,2024,0,2,ITO,309.0,2024-02-14
14,2,2024,0,2,Bawana,358.0,2024-02-14
14,2,2024,0,2,Narela,356.0,2024-02-14
14,2,2024,0,2,R K Puram,382.0,2024-02-14
14,2,2024,0,2,Okhla Phase-2,380.0,2024-02-14
15,2,2024,0,3,Narela,309.0,2024-02-15
15,2,2024,0,3,Bawana,319.0,2024-02-15
15,2,2024,0,3,Alipur,249.0,2024-02-15
15,2,2024,0,3,Punjabi Bagh,324.0,2024-02-15
15,2,2024,0,3,Sri Aurobindo Marg,282.0,2024-02-15
15,2,2024,0,3,Dr. Karni Singh Shooting Range,299.0,2024-02-15
15,2,2024,0,3,Okhla Phase-2,289.0,2024-02-15
15,2,2024,0,3,R K Puram,313.0,2024-02-15
16,2,2024,0,4,Narela,288.0,2024-02-16
16,2,2024,0,4,R K Puram,302.0,2024-02-16
16,2,2024,0,4,Dr. Karni Singh Shooting Range,277.0,2024-02-16
16,2,2024,0,4,Bawana,311.0,2024-02-16
16,2,2024,0,4,ITO,308.0,2024-02-16
16,2,2024,0,4,Sri Aurobindo Marg,249.0,2024-02-16
16,2,2024,0,4,North Campus DU,279.0,2024-02-16
16,2,2024,0,4,Alipur,237.0,2024-02-16
16,2,2024,0,4,Punjabi Bagh,300.0,2024-02-16
16,2,2024,0,4,Okhla Phase-2,272.0,2024-02-16
17,2,2024,0,5,Okhla Phase-2,231.0,2024-02-17
17,2,2024,0,5,R K Puram,278.0,2024-02-17
17,2,2024,0,5,Bawana,295.0,2024-02-17
17,2,2024,0,5,Dr. Karni Singh Shooting Range,239.0,2024-02-17
17,2,2024,0,5,Punjabi Bagh,264.0,2024-02-17
17,2,2024,0,5,Narela,273.0,2024-02-17
17,2,2024,0,5,Sri Aurobindo Marg,206.0,2024-02-17
17,2,2024,0,5,ITO,272.0,2024-02-17
17,2,2024,0,5,North Campus DU,261.0,2024-02-17
17,2,2024,0,5,Alipur,201.0,2024-02-17
18,2,2024,0,6,Punjabi Bagh,289.0,2024-02-18
18,2,2024,0,6,Dr. Karni Singh Shooting Range,236.0,2024-02-18
